stan	nuts
-1.67	0.790093064
-2.9	0.006076588
-0.47	0.482498453
-1.92	-0.2006884
2.06	0.725050062
0.43	0.465060471
-0.73	0.470081005
0.07	0.059371374
0.27	0.107650828
-1.04	0.08939949
-0.89	0.105118082
2.42	-0.2150203
-0.83	-0.092365176
0.66	-0.865091973
3.38	-0.207826908
0.27	-0.053627271
1.86	-0.507780538
1.34	0.506707167
-0.1	0.010101344
1.38	0.617266853
-0.81	0.314632047
0.08	5.62E-01
1.80E-03	0.089341408
-0.51	0.33439659
-2.46	0.362404025
-0.7	-0.192935258
1.87	-0.22730228
-1.16	0.404989997
0.21	0.950952772
0.2	0.748889871
2.21	0.312691086
0.55	0.343656321
-0.61	-0.002669571
-1.17	0.882900377
2.46	0.674305185
0.59	-0.420433631
0.09	0.120785657
-1.1	-0.684117698
1.66	0.169689821
-0.72	0.054328816
-0.2	0.270693389
1.09	-0.092558312
1.21	0.549027934
-0.95	-1.042060015
2.06	-0.382359205
-0.54	0.555718255
0.81	-0.668721108
0.93	-0.410698815
-1.43	-0.747519003
0.73	1.067045138
-2.08	-0.483242363
0.12	0.757343452
-1.78	0.128299961
-2.83	0.423452746
1.04	-0.634517332
0.16	-0.01948499
1.66	-0.602186
0.42	0.012426583
-1.22	0.469657148
0.19	0.390364357
0.08	0.725676179
-0.22	-0.636790866
-0.17	-0.182145981
0.08	0.044496508
1.52	0.360875952
0.54	-0.359902389
1.62	0.649866089
1.96	0.284079507
1.31	-0.14062675
0.13	0.267292176
0.89	0.206176521
-1.12	0.073794944
0.2	0.225567418
2.34	-0.29428285
-0.2	0.701112676
-0.94	0.119960516
3.13	-0.325344362
-0.01	-0.854871021
-0.27	-0.210445501
1.85	0.507184131
-0.16	0.301854148
-0.82	-0.309740768
-1.71	-0.253053953
-0.13	-0.235258447
-2.14	0.275685073
1.22	-0.398347232
-0.59	-0.411313925
1.2	0.020782459
-1.99	-0.948598403
1.05	0.040834053
-0.27	0.583936221
1.97	0.27080946
-0.87	-0.062901009
0.67	-0.116704477
-2.23	-0.061385721
0.23	-0.311956167
1.05	0.203307317
-0.04	0.272314004
-0.14	0.792367688
0.48	0.124593258
0.94	-0.827779675
-1.21	1.279696129
1.94	0.856376764
1.91	0.401569955
2.49	0.6324341
0.74	-0.711556887
-0.12	0.17932779
-1	-0.20624585
-0.82	-0.410727447
-1.25	0.136873166
-3.27	-1.019501226
-0.47	-0.466050361
1.98	0.07292509
0.67	0.818435141
1.16	-0.055688228
0.57	-0.126253902
-0.77	0.239247026
1.43	0.543181825
1.18	0.433302706
-1.23	-0.166837889
-0.69	-0.259118644
0.28	0.355664872
-0.86	-0.056849191
0.05	-0.071243273
0.2	0.124516978
-0.03	-0.467266771
0.81	-0.25505858
-1.44	0.054321078
-1.08	-0.684053074
-0.42	-0.313195619
-0.56	-0.878229347
-0.04	0.549596972
-3.4	-0.335290822
0.03	-0.868919589
-1.55	0.25122757
1.52	0.385848976
0.94	-0.12980841
-0.14	0.520856269
-1.25	0.065287002
3.03	0.146190838
2.21	-0.982270967
-0.88	-0.093717184
0.79	0.090485406
-0.85	0.075253543
-1.22	0.231822994
-0.45	0.606993218
0.02	-0.80148999
-0.22	-0.043872642
0.55	0.131746664
-0.42	0.230509343
-0.94	0.372326791
0.37	0.569259991
0.42	-0.271846186
-0.84	-0.14783208
0.92	-0.132919186
-1.11	-0.870545196
1.44	0.028735768
2.31	0.481133789
-1.41	-0.954744022
1.99	0.255566771
-1.52	0.614501741
2.04	0.726706402
2.02	-0.279196594
-1.71	-0.416674993
-0.72	-0.895599831
-1.07	0.05779433
0.69	0.316773471
-0.81	-0.297529435
2.66	-0.278048807
-1.78	-0.501588946
0.07	-0.037980018
1.09	-0.63580094
1.35	-0.030756597
-1.37	0.3272732
-1.63	0.26012008
1.02	-0.290117266
-1.23	0.301781503
-0.7	-0.24414146
-1.39	-0.57873977
2.36	0.104503506
0.44	-0.704689539
-1	-0.163066046
0.4	-0.210492457
1.33	0.016888964
0.66	-0.40251994
-1.09	-0.337417666
1.15	0.807697274
1.2	-0.056971251
-1.74	-0.042420319
-1.24	0.187967613
0.87	0.24613173
-0.84	0.316042039
-0.83	-0.257660606
0.58	-0.180455024
-2.07	-0.467155145
-0.51	0.037340325
0.73	-0.140725598
-0.51	0.540593122
0.48	-0.378480288
-0.74	-0.208253675
-0.15	-0.744351561
0.48	0.399575076
1.26	-0.675606608
-0.79	-0.446898332
0.76	-0.580611347
2.05	0.355915704
0.06	-0.071029705
-0.23	-0.47100954
-3.61	-0.703924557
-2.47	0.097288568
-1.53	1.081155302
-0.69	0.20698391
-0.25	0.033420364
-0.21	0.135268104
0.32	0.081577482
1.44	0.267439468
-2.02	-0.175307419
0.86	0.486128611
1.9	0.774115802
2.58	-0.530944836
0.35	0.030010824
-1.27	0.309922931
-1.39	-0.079420941
1.64	0.572760678
0.8	0.29469652
0.14	-0.584294341
1.67	-0.358126988
-0.39	-0.87177345
-0.66	0.385848651
0.02	0.197498626
-1.54	0.473672884
-0.11	4.41E-01
7.00E-03	-0.824145012
0.56	0.100490878
-1.96	0.314298822
0.42	-0.124887256
-0.5	-0.02718744
-0.24	-0.341905922
1.36	0.07598828
0.93	0.038626058
3.83	-0.682580456
0.48	-0.477755628
1.97	-0.131781131
-0.62	-0.262872089
1.14	0.109925388
-2.28	-0.004020171
-1.5	-0.365380782
0.93	-0.943797807
1.24	0.21613882
-1.7	0.378544381
